Number,Name,Calories,Proteins,Carbs,Fats
01001,"BUTTER,WITH SALT",717,0.9,0.1,81.1
01002,"BUTTER,WHIPPED,WITH SALT",717,0.9,0.1,81.1
01003,"BUTTER OIL,ANHYDROUS",876,0.3,0,99.5
01004,"CHEESE,BLUE",353,21.4,2.3,28.7
01005,"CHEESE,BRICK",371,23.2,2.8,29.7
01006,"CHEESE,BRIE",334,20.8,0.4,27.7
01007,"CHEESE,CAMEMBERT",300,19.8,0.5,24.3
01008,"CHEESE,CARAWAY",376,25.2,3.1,29.2
01009,"CHEESE,CHEDDAR",403,24.9,1.3,33.1
01010,"CHEESE,CHESHIRE",387,23.4,4.8,30.6
01011,"CHEESE,COLBY",394,23.8,2.6,32.1
01012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",103,12.5,2.7,4.5
01013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.7,4.6,3.8
01014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",85,17.3,1.9,0.4
01015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",90,13.7,3.6,1.9
01016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.4,2.7,1
01017,"CHEESE,CREAM",349,7.6,2.7,34.9
01018,"CHEESE,EDAM",357,25,1.4,27.8
01019,"CHEESE,FETA",264,14.2,4.1,21.3
01020,"CHEESE,FONTINA",389,25.6,1.5,31.1
01021,"CHEESE,GJETOST",466,9.6,42.7,29.5
01022,"CHEESE,GOUDA",356,24.9,2.2,27.4
01023,"CHEESE,GRUYERE",413,29.8,0.4,32.3
01024,"CHEESE,LIMBURGER",327,20,0.5,27.3
01025,"CHEESE,MONTEREY",373,24.5,0.7,30.3
01026,"CHEESE,MOZZARELLA,WHL MILK",300,22.2,2.2,22.4
01027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,21.6,2.5,24.6
01028,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.3,2.8,15.9
01029,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",302,26,3.8,20
01030,"CHEESE,MUENSTER",368,23.4,1.1,30
01031,"CHEESE,NEUFCHATEL",260,10,2.9,23.4
01032,"CHEESE,PARMESAN,GRATED",431,38.5,4.1,28.6
01033,"CHEESE,PARMESAN,HARD",392,35.8,3.2,25.8
01034,"CHEESE,PORT DE SALUT",352,23.8,0.6,28.2
01035,"CHEESE,PROVOLONE",351,25.6,2.1,26.6
01036,"CHEESE,RICOTTA,WHOLE MILK",174,11.3,3,13
01037,"CHEESE,RICOTTA,PART SKIM MILK",138,11.4,5.1,7.9
01038,"CHEESE,ROMANO",387,31.8,3.6,26.9
01039,"CHEESE,ROQUEFORT",369,21.5,2,30.6
01040,"CHEESE,SWISS",380,26.9,5.4,27.8
01041,"CHEESE,TILSIT",340,24.4,1.9,26
01042,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",375,22.1,1.6,31.3
01043,"CHEESE,PAST PROCESS,PIMENTO",375,22.1,1.7,31.2
01044,"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",334,24.7,2.1,25
01045,"CHEESE FD,COLD PK,AMERICAN",331,19.7,8.3,24.5
01046,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",330,18.4,7.8,25.2
